0,0,1.414,0.1,0.1,0,0,1.514,52.538
0,0,1.656,0.1,0.1,0,0,1.756,52.538
0,0,0.4137,1.5133,1.5133,0,0,1.927,52.538
0,0,0.1,1.41,1.41,0,0,1.51,52.538
0,0,0.1,1.187,1.187,0,0,1.287,52.538
0,0,0.48371,0.89729,0.89729,0,0,1.381,52.538
0,0,0.40595,0.75305,0.75305,0.1,0,1.259,52.538
0,0,0.35517,0.65883,0.65883,0.2,0,1.214,52.538
0,0,0.25149,0.46651,0.46651,0.8,0,1.518,52.538
0,0,0.1,0.1,0.1,1.103,0,1.303,52.538
0.813,6.687,0,0,6.687,1.187,0,1.187,52.538
1.344,4.6805,0,0,4.6805,1.156,0,1.156,52.538
1.022,0,0,0,0,1.678,0,1.678,52.538
0.884,0,0,0,0,2.316,0,2.316,52.538
1.005,0,0,0,0,1.995,0,1.995,52.538
0,0,1.5793,0.1,0.1,2.5,0,4.1793,52.538
0,0,2.9293,0.1,0.1,2.3,0,5.3293,52.538
0,0,3.4263,0.1,0.1,1.7,0,5.2263,52.538
0,0,2.8603,0.1,0.1,1.2,0,4.1603,52.538
0,0,0.1,3.6753,3.6753,0.5,0,4.2753,52.538
0,0,0.1,3.9403,3.9403,0,0,4.0403,52.538
0,0,0.1,3.8753,3.8753,0,0,3.9753,52.538
0,0,0.1,3.8743,3.8743,0,0,3.9743,52.538
0,0,0.1,3.7093,3.7093,0,0,3.8093,52.538
